#
# Event Network Degree. G(15897435, 30279252). 1478048 (0.0930) nodes with in-deg > avg deg (3.8), 502722 (0.0316) with >2*avg.deg (Wed Nov 12 13:35:10 2014)
#
# In-degree	Count
0	138
1	1.14724e+07
2	2.11904e+06
3	827832
4	428727
5	258272
6	169973
7	118354
8	86612
9	64962
10	49954
11	39469
12	31722
13	25984
14	21050
15	17354
16	14590
17	12339
18	10366
19	8939
20	7692
21	6730
22	5959
23	5156
24	4474
25	4065
26	3701
27	3291
28	2936
29	2747
30	2437
31	2202
32	2009
33	1959
34	1710
35	1674
36	1506
37	1471
38	1254
39	1153
40	1126
41	1045
42	914
43	973
44	813
45	842
46	777
47	734
48	686
49	709
50	637
51	571
52	545
53	569
54	537
55	502
56	470
57	461
58	471
59	429
60	417
61	409
62	426
63	404
64	393
65	336
66	333
67	340
68	320
69	302
70	278
71	271
72	289
73	258
74	248
75	244
76	232
77	219
78	220
79	241
80	207
81	183
82	186
83	204
84	173
85	169
86	168
87	165
88	152
89	151
90	140
91	120
92	142
93	133
94	112
95	118
96	119
97	107
98	113
99	96
100	81
101	93
102	98
103	91
104	84
105	86
106	71
107	93
108	60
109	63
110	52
111	77
112	63
113	67
114	69
115	60
116	53
117	31
118	53
119	50
120	47
121	47
122	45
123	49
124	50
125	48
126	42
127	48
128	45
129	42
130	53
131	38
132	48
133	40
134	35
135	41
136	46
137	42
138	40
139	45
140	37
141	31
142	42
143	38
144	41
145	42
146	38
147	47
148	37
149	39
150	45
151	39
152	38
153	37
154	39
155	37
156	49
157	50
158	36
159	31
160	48
161	43
162	38
163	50
164	34
165	33
166	32
167	30
168	42
169	38
170	49
171	37
172	48
173	37
174	39
175	39
176	35
177	31
178	42
179	31
180	32
181	34
182	30
183	43
184	37
185	36
186	43
187	36
188	34
189	35
190	43
191	41
192	41
193	29
194	44
195	33
196	38
197	45
198	44
199	33
200	43
201	40
202	30
203	35
204	49
205	41
206	34
207	31
208	37
209	38
210	32
211	35
212	33
213	35
214	38
215	44
216	39
217	47
218	41
219	45
220	43
221	27
222	39
223	33
224	41
225	28
226	33
227	27
228	42
229	33
230	39
231	33
232	34
233	29
234	40
235	42
236	32
237	35
238	30
239	30
240	37
241	29
242	28
243	48
244	35
245	32
246	36
247	48
248	25
249	28
250	43
251	30
252	35
253	31
254	33
255	44
256	34
257	39
258	35
259	41
260	27
261	35
262	36
263	33
264	42
265	38
266	28
267	36
268	35
269	28
270	28
271	26
272	33
273	30
274	36
275	29
276	37
277	32
278	41
279	37
280	36
281	27
282	20
283	26
284	32
285	34
286	35
287	32
288	34
289	30
290	32
291	34
292	41
293	24
294	30
295	30
296	36
297	29
298	31
299	29
300	31
301	32
302	34
303	40
304	40
305	27
306	30
307	38
308	39
309	43
310	34
311	34
312	26
313	26
314	23
315	34
316	42
317	32
318	24
319	32
320	34
321	38
322	26
323	32
324	27
325	32
326	27
327	35
328	27
329	33
330	35
331	29
332	31
333	29
334	41
335	32
336	23
337	15
338	32
339	35
340	21
341	28
342	36
343	42
344	33
345	32
346	35
347	38
348	27
349	29
350	35
351	24
352	25
353	34
354	26
355	20
356	30
357	29
358	33
359	35
360	24
361	25
362	25
363	35
364	31
365	26
366	30
367	31
368	35
369	40
370	26
371	21
372	36
373	31
374	34
375	28
376	31
377	27
378	36
379	17
380	28
381	24
382	26
383	34
384	24
385	25
386	30
387	30
388	28
389	28
390	31
391	30
392	20
393	37
394	34
395	35
396	39
397	30
398	36
399	20
400	32
401	26
402	25
403	24
404	22
405	23
406	25
407	26
408	16
409	21
410	28
411	28
412	28
413	26
414	21
415	27
416	30
417	25
418	32
419	31
420	25
421	27
422	25
423	29
424	34
425	18
426	26
427	31
428	40
429	30
430	24
431	29
432	25
433	28
434	17
435	23
436	24
437	29
438	26
439	23
440	24
441	23
442	26
443	22
444	28
445	25
446	26
447	28
448	25
449	27
450	26
451	26
452	19
453	28
454	18
455	28
456	30
457	18
458	22
459	35
460	25
461	31
462	29
463	36
464	24
465	23
466	13
467	25
468	25
469	24
470	24
471	29
472	24
473	28
474	23
475	14
476	20
477	25
478	23
479	22
480	27
481	23
482	25
483	21
484	22
485	20
486	23
487	26
488	20
489	28
490	17
491	33
492	21
493	21
494	26
495	14
496	24
497	26
498	23
499	30
500	31
501	17
502	32
503	25
504	28
505	24
506	18
507	21
508	19
509	27
510	24
511	37
512	17
513	31
514	27
515	25
516	18
517	17
518	14
519	23
520	18
521	26
522	23
523	33
524	25
525	34
526	27
527	23
528	22
529	16
530	23
531	23
532	21
533	18
534	21
535	18
536	30
537	20
538	13
539	28
540	27
541	21
542	11
543	23
544	24
545	23
546	21
547	23
548	17
549	13
550	28
551	18
552	24
553	23
554	29
555	16
556	30
557	24
558	21
559	16
560	22
561	14
562	21
563	31
564	22
565	18
566	19
567	14
568	24
569	18
570	28
571	14
572	21
573	17
574	32
575	20
576	15
577	21
578	14
579	16
580	18
581	16
582	19
583	25
584	26
585	20
586	29
587	17
588	14
589	17
590	23
591	21
592	13
593	20
594	24
595	20
596	27
597	14
598	32
599	23
600	20
601	21
602	25
603	19
604	21
605	22
606	14
607	21
608	20
609	28
610	23
611	17
612	23
613	28
614	22
615	14
616	13
617	23
618	19
619	14
620	19
621	16
622	21
623	20
624	19
625	20
626	20
627	14
628	22
629	21
630	16
631	16
632	22
633	18
634	21
635	15
636	28
637	22
638	16
639	23
640	20
641	15
642	17
643	26
644	21
645	18
646	24
647	23
648	20
649	12
650	20
651	17
652	15
653	16
654	12
655	15
656	18
657	18
658	23
659	19
660	18
661	25
662	22
663	14
664	14
665	13
666	23
667	22
668	17
669	22
670	18
671	23
672	13
673	14
674	23
675	16
676	23
677	21
678	11
679	21
680	8
681	20
682	21
683	20
684	24
685	20
686	15
687	19
688	8
689	22
690	18
691	15
692	14
693	16
694	12
695	16
696	25
697	12
698	15
699	22
700	22
701	15
702	14
703	19
704	13
705	23
706	17
707	16
708	16
709	14
710	27
711	14
712	17
713	15
714	14
715	15
716	13
717	14
718	22
719	18
720	18
721	14
722	19
723	13
724	18
725	19
726	21
727	15
728	14
729	16
730	18
731	16
732	15
733	15
734	17
735	24
736	11
737	15
738	19
739	25
740	17
741	15
742	22
743	19
744	15
745	13
746	12
747	17
748	18
749	14
750	13
751	14
752	20
753	9
754	9
755	22
756	11
757	11
758	8
759	11
760	9
761	18
762	19
763	14
764	14
765	19
766	11
767	17
768	14
769	13
770	24
771	15
772	7
773	21
774	21
775	11
776	20
777	24
778	12
779	15
780	12
781	15
782	18
783	19
784	19
785	11
786	8
787	13
788	17
789	16
790	24
791	21
792	10
793	20
794	22
795	17
796	15
797	14
798	19
799	15
800	17
801	15
802	13
803	10
804	11
805	16
806	15
807	26
808	25
809	9
810	19
811	15
812	12
813	15
814	16
815	15
816	16
817	14
818	12
819	17
820	10
821	25
822	15
823	17
824	14
825	7
826	10
827	17
828	22
829	13
830	9
831	16
832	19
833	19
834	16
835	13
836	12
837	10
838	15
839	16
840	17
841	14
842	16
843	21
844	12
845	11
846	12
847	13
848	12
849	19
850	12
851	14
852	20
853	16
854	14
855	25
856	22
857	15
858	20
859	11
860	17
861	16
862	15
863	20
864	11
865	13
866	17
867	15
868	13
869	15
870	16
871	25
872	16
873	10
874	21
875	11
876	10
877	17
878	16
879	12
880	18
881	14
882	11
883	13
884	12
885	15
886	12
887	13
888	18
889	10
890	7
