#
# user network degree. G(683240, 1187518). 98529 (0.1442) nodes with in-deg > avg deg (3.5), 62105 (0.0909) with >2*avg.deg (Thu Nov 13 00:47:24 2014)
#
# In-degree	Count
0	327747
1	172985
2	56295
3	27684
4	16684
5	11411
6	8329
7	6495
8	5202
9	4278
10	3708
11	3116
12	2750
13	2396
14	2143
15	1852
16	1594
17	1535
18	1385
19	1208
20	1137
21	1040
22	945
23	868
24	854
25	801
26	702
27	674
28	627
29	592
30	574
31	529
32	518
33	471
34	492
35	469
36	452
37	405
38	391
39	356
40	366
41	322
42	356
43	285
44	304
45	284
46	261
47	270
48	267
49	252
50	227
51	220
52	203
53	219
54	192
55	240
56	189
57	173
58	190
59	185
60	161
61	129
62	145
63	134
64	148
65	136
66	136
67	144
68	141
69	127
70	117
71	123
72	119
73	94
74	93
75	105
76	85
77	106
78	79
79	86
80	92
81	84
82	83
83	64
84	74
85	70
86	81
87	76
88	85
89	67
90	62
91	68
92	55
93	74
94	50
95	58
96	52
97	43
98	53
99	43
100	50
101	39
102	47
103	49
104	38
105	38
106	55
107	38
108	31
109	42
110	38
111	37
112	43
113	30
114	47
115	26
116	39
117	34
118	35
119	27
120	29
121	39
122	29
123	29
124	27
125	24
126	21
127	26
128	24
129	27
130	26
131	24
132	23
133	22
134	23
135	17
136	27
137	18
138	17
139	36
140	29
141	17
142	23
143	18
144	16
145	16
146	17
147	16
148	13
149	24
150	18
151	10
152	18
153	15
154	12
155	20
156	12
157	18
158	11
159	11
160	14
161	13
162	15
163	10
164	8
165	12
166	10
167	13
168	12
169	11
170	8
171	15
172	9
173	10
174	9
175	4
176	12
177	4
178	7
179	12
180	10
181	11
182	11
183	7
184	10
185	9
186	8
187	4
188	9
189	4
190	10
191	6
192	9
193	10
194	3
195	10
196	6
197	3
198	10
199	11
200	4
201	10
202	5
203	7
204	6
205	8
206	9
207	4
208	7
209	5
210	6
211	6
212	10
213	5
214	10
215	5
216	5
217	11
218	6
219	3
220	3
221	6
222	5
223	1
224	5
225	1
226	5
227	6
228	2
229	4
230	4
231	5
232	1
233	3
234	7
235	5
236	3
237	3
238	5
239	4
240	7
241	6
242	4
243	2
245	3
246	4
247	3
248	4
249	5
250	6
251	5
252	5
253	6
254	3
255	2
256	5
257	4
258	4
259	3
260	5
261	6
262	5
263	6
264	3
265	2
266	8
267	4
268	2
269	2
270	5
271	3
272	3
273	2
274	5
275	1
276	3
277	4
278	3
279	5
280	4
281	1
282	5
283	4
284	5
285	2
286	3
287	1
288	5
289	3
290	2
291	2
292	6
293	7
294	3
295	4
296	4
297	2
298	2
299	2
300	3
301	4
302	3
303	1
304	1
305	4
306	2
307	2
308	3
309	1
310	3
311	4
312	2
313	2
315	2
316	2
317	4
318	1
319	1
320	1
321	2
322	1
323	1
324	3
325	5
326	5
327	2
328	2
329	1
330	1
331	1
332	1
333	3
334	2
335	1
336	3
337	3
338	2
341	1
342	3
343	1
344	1
345	3
346	2
347	2
348	2
349	3
350	4
351	1
352	4
353	1
355	2
356	2
357	1
358	1
361	5
362	1
363	2
366	2
367	2
368	1
369	6
370	3
371	2
372	4
373	5
375	5
376	1
377	3
378	1
379	1
381	1
382	3
383	2
384	1
385	4
387	2
388	2
389	1
391	1
393	1
394	1
396	1
397	3
398	1
399	2
400	1
401	4
402	1
403	1
404	2
405	2
406	1
408	3
409	2
410	2
411	1
412	1
413	3
414	1
415	2
416	2
421	3
422	2
423	1
425	2
427	3
428	1
429	3
430	3
431	1
432	5
433	1
434	2
436	3
437	2
439	1
441	2
443	1
444	2
446	1
448	2
449	1
450	1
452	1
453	1
455	3
458	1
459	1
461	2
462	1
467	2
468	2
469	1
475	3
476	2
477	1
479	1
481	1
484	1
485	2
487	1
490	2
493	1
495	1
498	1
499	1
501	1
502	1
505	1
506	1
508	1
511	1
512	1
513	2
517	2
518	1
519	1
526	3
527	1
531	1
532	1
533	1
537	1
538	1
546	1
548	1
552	1
558	1
559	1
565	1
566	1
567	1
568	1
576	1
577	1
579	1
580	1
581	1
582	1
593	1
595	1
601	1
602	1
607	1
634	1
635	1
640	1
642	1
649	1
653	1
663	1
668	1
679	1
681	1
690	1
694	1
695	1
700	1
710	1
713	1
722	1
731	1
732	1
749	1
761	1
765	1
798	1
801	1
839	1
924	1
938	1
1031	1
1068	1
1082	1
1152	1
1170	1
1213	1
1447	1
